Query,Relevant Axioms IDs,Size of relevant axioms,Word2Vec_Ranking,BERT_Ranking,SBERT_Ranking,SapBERT_Ranking,owl2vec_iri_Ranking,owl2vec_Ranking,owl2vec_pretrained_Ranking
"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts.","['81', '120', '188', '54', '64', '77', '153', '83', '208', '122', '65', '25']",12,"['126', '5', '176', '167', '92', '162', '65', '114', '156', '124']","{'181': 0.84805894, '208': 0.8410441, '67': 0.8383025, '167': 0.8382909, '126': 0.83157575, '124': 0.82324207, '163': 0.82246184, '114': 0.8213809, '120': 0.8193035, '162': 0.8174525}","{'126': 0.64491934, '174': 0.59014344, '65': 0.5396097, '5': 0.53320324, '167': 0.51938295, '208': 0.5041731, '176': 0.4599329, '124': 0.36094958, '163': 0.3598821, '114': 0.34384125}","{'5': 0.7227423, '167': 0.7191969, '126': 0.7098918, '176': 0.70786715, '20': 0.6752174, '10': 0.66940415, '51': 0.6670158, '65': 0.66669935, '174': 0.66637176, '92': 0.64676434}","{'131': 0.9375529, '44': 0.9360424, '88': 0.9245915, '1': 0.92078525, '91': 0.9185845, '139': 0.9172831, '56': 0.91707927, '102': 0.91230744, '138': 0.9122754, '220': 0.9032762}","{'11': 0.979271, '166': 0.97842157, '22': 0.97840255, '137': 0.9781714, '124': 0.97741324, '155': 0.9772826, '84': 0.9767127, '153': 0.9764545, '2': 0.975614, '182': 0.9753481}","{'185': 0.9996245, '137': 0.99962425, '149': 0.99962354, '166': 0.99962354, '153': 0.99962294, '24': 0.99962246, '40': 0.9996215, '97': 0.99962115, '182': 0.99962044, '61': 0.99956334}"
Rock Quality: a quality that is quality_of only Amount of Rock. It measures the property that related to rock itself.,"['113', '129', '17', '193']",4,"['129', '113', '192', '17', '100', '31', '155', '147', '33', '152']","{'129': 0.8729799, '33': 0.867978, '100': 0.84369004, '45': 0.8374673, '97': 0.82336295, '192': 0.82145315, '61': 0.82091117, '16': 0.81006163, '28': 0.8100031, '66': 0.80739725}","{'129': 0.849422, '113': 0.80698186, '17': 0.6372869, '192': 0.52559835, '100': 0.51203775, '97': 0.5061435, '163': 0.5044644, '45': 0.44283113, '33': 0.4241767, '124': 0.42352238}","{'129': 0.8837209, '113': 0.842335, '100': 0.82141006, '45': 0.7849535, '33': 0.7733368, '130': 0.74704206, '17': 0.74007106, '31': 0.7378737, '155': 0.7336634, '97': 0.7084377}","{'50': 0.9510782, '170': 0.94674075, '129': 0.9451323, '178': 0.9442931, '78': 0.9438875, '186': 0.9437005, '48': 0.942972, '16': 0.9426502, '37': 0.9422832, '11': 0.9357444}","{'124': 0.9745588, '129': 0.9712975, '163': 0.9704727, '11': 0.97047126, '203': 0.96993065, '140': 0.9684669, '46': 0.9674969, '33': 0.96735823, '155': 0.96724176, '22': 0.9669135}","{'222': 0.9993584, '120': 0.9990382, '146': 0.9988921, '148': 0.99882334, '133': 0.9988221, '118': 0.9988114, '187': 0.9988047, '130': 0.9987998, '62': 0.9987929, '34': 0.9987752}"
Fault Dip Direction: it measures the dipping direction of the Fault Surface Location.,['99'],1,"['99', '200', '46', '7', '140', '69', '89', '105', '161', '212']","{'99': 0.8742441, '43': 0.86794454, '200': 0.86479783, '6': 0.85939264, '161': 0.84725785, '46': 0.8454962, '212': 0.8446591, '96': 0.8441606, '187': 0.8435865, '222': 0.84154755}","{'99': 0.8517704, '200': 0.80426496, '46': 0.73488533, '7': 0.6878892, '69': 0.6774881, '43': 0.67173326, '161': 0.6637955, '85': 0.65663594, '89': 0.6564474, '222': 0.6106534}","{'99': 0.83642364, '200': 0.79315186, '62': 0.6588944, '69': 0.61661696, '131': 0.6146373, '184': 0.5942231, '46': 0.5909828, '88': 0.589616, '24': 0.5878853, '89': 0.57175744}","{'105': 0.9226477, '178': 0.91789794, '16': 0.9164086, '50': 0.9163537, '78': 0.9152997, '170': 0.9137433, '46': 0.9107083, '220': 0.909533, '44': 0.90387756, '212': 0.90252304}","{'212': 0.9340738, '220': 0.9323723, '28': 0.91686505, '13': 0.9163442, '105': 0.9150097, '32': 0.91458815, '46': 0.9134009, '140': 0.91033417, '222': 0.90850306, '152': 0.9041294}","{'42': 0.9977481, '119': 0.9977418, '63': 0.9977265, '194': 0.99772143, '33': 0.9975958, '66': 0.99757904, '22': 0.9974444, '11': 0.9974275, '84': 0.99734163, '2': 0.99732935}"
Fault Array Structure: a geological structure that is structure_of some Fault System. It is the spatial relationship and geometric arrangement among the Fault Surface related to multiple Fault Zone of a Fault System.,"['13', '123', '115', '91', '210', '111', '1', '206', '145']",9,"['13', '32', '7', '207', '116', '111', '56', '151', '122', '193']","{'40': 0.87864226, '146': 0.87709665, '69': 0.8746372, '153': 0.86948484, '108': 0.86869305, '22': 0.86653775, '7': 0.8665295, '36': 0.86288816, '141': 0.8585866, '2': 0.85857105}","{'111': 0.8040615, '13': 0.80185354, '116': 0.70356834, '207': 0.67924386, '32': 0.67065454, '43': 0.646423, '91': 0.6440033, '156': 0.6391204, '89': 0.63680077, '222': 0.55480874}","{'111': 0.8514905, '13': 0.8153846, '91': 0.7781229, '165': 0.77411336, '7': 0.77183723, '207': 0.767743, '116': 0.7640697, '210': 0.7547009, '30': 0.7514221, '1': 0.7471809}","{'131': 0.95082027, '44': 0.9486348, '56': 0.94787025, '95': 0.94753355, '58': 0.9467969, '139': 0.9422254, '68': 0.94166654, '134': 0.9410774, '88': 0.9407991, '220': 0.9203818}","{'152': 0.97837955, '11': 0.9778628, '22': 0.97655797, '155': 0.9747363, '84': 0.97334564, '2': 0.9732713, '7': 0.9732579, '33': 0.9730469, '212': 0.97056836, '220': 0.9669767}","{'124': 0.9995501, '53': 0.9992567, '107': 0.99925447, '90': 0.9992516, '104': 0.9992501, '71': 0.99924994, '89': 0.99924976, '68': 0.99899656, '139': 0.9987832, '122': 0.9987605}"
Earth fluid is an 'earth material' that is fluild.,"['41', '203']",2,"['41', '133', '203', '109', '75', '180', '147', '159', '28', '33']","{'41': 0.85783005, '133': 0.85711384, '180': 0.84398896, '203': 0.825958, '147': 0.8241195, '139': 0.82096875, '68': 0.81396776, '120': 0.81061673, '196': 0.8005514, '100': 0.79855967}","{'41': 0.83374405, '203': 0.6901183, '133': 0.644207, '75': 0.590532, '109': 0.5321325, '180': 0.5193373, '159': 0.44840145, '63': 0.41994607, '163': 0.34783632, '124': 0.2915337}","{'41': 0.89075947, '203': 0.81931865, '180': 0.7851359, '133': 0.7719568, '75': 0.7444245, '147': 0.744343, '109': 0.6968105, '159': 0.66666615, '117': 0.6523122, '97': 0.6429123}","{'136': 0.9231881, '48': 0.9211396, '9': 0.9162097, '131': 0.9158213, '101': 0.91581494, '14': 0.9152913, '180': 0.91363174, '44': 0.9103311, '19': 0.9094466, '99': 0.9084782}","{'75': 0.9724985, '155': 0.9706346, '117': 0.9703384, '4': 0.9702603, '41': 0.9686796, '180': 0.96850276, '133': 0.9682918, '109': 0.9675239, '163': 0.96737856, '160': 0.96734333}","{'107': 0.99949354, '104': 0.9994893, '90': 0.99948883, '53': 0.9994878, '71': 0.9994876, '163': 0.9994312, '157': 0.9991804, '85': 0.99912155, '161': 0.9991163, '172': 0.9987912}"
.Fault Surface Location: a two dimensional spatial region that Fault Surface occupies in the spatial region.,"['7', '46', '6']",3,"['6', '7', '205', '171', '3', '103', '61', '195', '69', '89']","{'6': 0.93126386, '7': 0.8878775, '69': 0.87771285, '46': 0.8753942, '89': 0.8615608, '74': 0.85728514, '14': 0.85243, '156': 0.8442056, '222': 0.8440848, '212': 0.843188}","{'6': 0.8800231, '7': 0.82844114, '89': 0.7365046, '69': 0.73472875, '104': 0.69213235, '40': 0.67129064, '36': 0.6658795, '46': 0.66351223, '140': 0.65104073, '141': 0.64802897}","{'7': 0.89513606, '6': 0.874903, '46': 0.81735325, '69': 0.80280656, '165': 0.74731725, '89': 0.74572843, '140': 0.74551845, '86': 0.74168545, '30': 0.7240389, '195': 0.7235199}","{'7': 0.9315757, '46': 0.92433614, '139': 0.9242455, '68': 0.9236334, '134': 0.9226049, '194': 0.9223162, '19': 0.9215553, '99': 0.9210619, '131': 0.9158446, '220': 0.9060617}","{'120': 0.96107185, '146': 0.96093696, '194': 0.9545803, '63': 0.9538939, '42': 0.95232946, '61': 0.9507052, '220': 0.9489771, '11': 0.9486481, '22': 0.9482292, '156': 0.94462156}","{'119': 0.9985634, '63': 0.9985536, '42': 0.9985534, '194': 0.99855214, '33': 0.99843, '2': 0.9983074, '84': 0.998304, '117': 0.9983013, '4': 0.99829274, '75': 0.99828935}"
Fault Volume: a Rock Volume that is associated to  Fault Zone and Fault Wall. It has_part some Fault Wall and some Fault Zone.,"['86', '40', '108', '89', '72', '156', '182']",7,"['182', '71', '40', '90', '222', '153', '53', '107', '69', '89']","{'90': 0.8886088, '40': 0.8868256, '53': 0.8842178, '153': 0.88037294, '161': 0.8752967, '146': 0.8721494, '186': 0.87073636, '31': 0.870058, '22': 0.8638638, '76': 0.8610513}","{'197': 0.78210586, '86': 0.7766818, '71': 0.75421405, '90': 0.7471985, '70': 0.74007607, '182': 0.7336482, '40': 0.711172, '156': 0.6628337, '22': 0.6573586, '107': 0.6571257}","{'86': 0.8508341, '197': 0.82778406, '70': 0.82527083, '71': 0.76861775, '90': 0.76402485, '107': 0.73735476, '7': 0.73467773, '130': 0.72293705, '22': 0.71882814, '31': 0.717411}","{'203': 0.91277516, '212': 0.9073538, '78': 0.90541834, '11': 0.9052026, '178': 0.9051333, '16': 0.90354663, '170': 0.9025592, '50': 0.90229976, '222': 0.8917671, '220': 0.88057274}","{'222': 0.9512618, '212': 0.9474802, '203': 0.9373586, '152': 0.9286178, '33': 0.91199255, '159': 0.911966, '7': 0.90528256, '11': 0.9043007, '66': 0.8999221, '220': 0.8966537}","{'105': 0.9995952, '141': 0.99947846, '23': 0.9994734, '108': 0.99947333, '170': 0.9994727, '59': 0.99947184, '36': 0.99946725, '45': 0.999466, '100': 0.9993756, '78': 0.99935985}"
It is a fiat surface that is 'located in' the external surface of a 'geological object'.,"['21', '61']",2,"['66', '124', '34', '39', '18', '181', '61', '143', '8', '7']","{'21': 0.8304225, '69': 0.8269987, '220': 0.82659185, '97': 0.82549447, '181': 0.8243531, '196': 0.8181179, '203': 0.81422216, '159': 0.813398, '66': 0.8121904, '35': 0.80290425}","{'66': 0.62782264, '124': 0.5881269, '61': 0.5007212, '203': 0.4976011, '181': 0.47337538, '117': 0.47013187, '163': 0.43509546, '159': 0.41873053, '33': 0.40661657, '127': 0.39266217}","{'66': 0.80001366, '124': 0.7482127, '143': 0.7277107, '98': 0.70793605, '203': 0.6922289, '163': 0.6881716, '165': 0.6848995, '181': 0.6821245, '117': 0.6812674, '8': 0.67381454}","{'68': 0.9479479, '134': 0.946234, '139': 0.94476724, '127': 0.93280625, '34': 0.9292265, '28': 0.9244276, '99': 0.92173666, '7': 0.9215932, '19': 0.9198768, '194': 0.919364}","{'139': 0.9791291, '68': 0.97878176, '134': 0.96759546, '39': 0.9659633, '34': 0.96587133, '61': 0.96385825, '24': 0.96247226, '130': 0.9606057, '166': 0.96040785, '6': 0.95807457}","{'38': 0.9991122, '15': 0.99910635, '202': 0.9990342, '77': 0.9989857, '188': 0.99893475, '191': 0.9989342, '60': 0.9989188, '51': 0.99878615, '10': 0.99878097, '20': 0.998779}"
Slickenside: smooth polished surface of parallel scratches or grooves.,['139'],1,"['139', '172', '28', '140', '195', '134', '68', '84', '63', '194']","{'139': 0.81425846, '68': 0.8044863, '134': 0.73768616, '96': 0.73703766, '62': 0.7330507, '222': 0.7277443, '192': 0.72554207, '133': 0.72187126, '196': 0.7112494, '220': 0.70627904}","{'139': 0.593006, '68': 0.57307005, '134': 0.42806935, '16': 0.40532306, '24': 0.38303626, '28': 0.36415523, '63': 0.35856056, '140': 0.3242641, '76': 0.3111868, '170': 0.29202968}","{'139': 0.71908194, '68': 0.7088731, '44': 0.5264506, '134': 0.5215678, '72': 0.50926685, '172': 0.49949062, '192': 0.49267462, '16': 0.48557737, '39': 0.48507974, '178': 0.47848377}","{'28': 0.85362, '13': 0.84115905, '32': 0.8267231, '68': 0.8205911, '134': 0.82038736, '24': 0.81880796, '145': 0.8146316, '139': 0.8124989, '122': 0.8102361, '107': 0.8069579}","{'28': 0.8526772, '32': 0.8459313, '13': 0.8443487, '68': 0.81262296, '24': 0.80914533, '182': 0.803114, '166': 0.8023583, '137': 0.802155, '40': 0.8005872, '149': 0.80039066}","{'42': 0.99285275, '119': 0.9928219, '63': 0.99281627, '194': 0.99277437, '66': 0.9923261, '181': 0.99216294, '156': 0.9921595, '159': 0.99190515, '84': 0.9911008, '33': 0.9906699}"
"Nonsystematic (random): a number of fault surfaces in a wide range of orientations, no systematic pattern can be concluded.",['206'],1,"['207', '210', '156', '56', '122', '139', '195', '28', '13', '124']","{'156': 0.8388242, '6': 0.83846813, '96': 0.8346554, '172': 0.83393455, '114': 0.82802176, '181': 0.82603186, '183': 0.82236826, '46': 0.8223016, '222': 0.81074554, '196': 0.7919497}","{'46': 0.6410291, '132': 0.621771, '172': 0.57127035, '207': 0.5562562, '43': 0.5298091, '156': 0.49885923, '127': 0.49299312, '74': 0.48026302, '222': 0.4199309, '114': 0.3876263}","{'46': 0.6949867, '7': 0.6738274, '57': 0.66686386, '222': 0.6649754, '207': 0.6598386, '56': 0.6520595, '193': 0.6314234, '43': 0.63130176, '116': 0.6140998, '165': 0.61037606}","{'44': 0.9114838, '88': 0.9091909, '131': 0.9071444, '145': 0.90475076, '122': 0.90309495, '207': 0.90211964, '1': 0.90188354, '91': 0.9011586, '105': 0.89615333, '212': 0.87927914}","{'13': 0.9441005, '32': 0.94317925, '28': 0.9394155, '105': 0.93389904, '23': 0.9329169, '59': 0.93287015, '141': 0.9321757, '108': 0.93126553, '46': 0.9312359, '36': 0.9304304}","{'222': 0.9990464, '212': 0.9986691, '203': 0.99825746, '120': 0.9982318, '7': 0.99819636, '152': 0.99802333, '118': 0.9979342, '146': 0.99781317, '35': 0.99758995, '196': 0.99744815}"
