Query,Relevant Axioms IDs,Size of relevant axioms
"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts.","['82', '121', '188', '55', '65', '78', '157', '84', '209', '124', '64', '26']",12
Rock Quality: a quality that is quality_of only Amount of Rock. It measures the property that related to rock itself.,"['114', '131', '18', '193']",4
b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003]),"['52', '127', '177']",3
Fault Dip Direction: it measures the dipping direction of the Fault Surface Location.,['100'],1
Fault Array Structure: a geological structure that is structure_of some Fault System. It is the spatial relationship and geometric arrangement among the Fault Surface related to multiple Fault Zone of a Fault System.,"['13', '123', '116', '92', '211', '112', '1', '208', '148']",9
Earth fluid is an 'earth material' that is fluild.,"['42', '205']",2
.Fault Surface Location: a two dimensional spatial region that Fault Surface occupies in the spatial region.,"['7', '48', '6']",3
Fault Volume: a Rock Volume that is associated to  Fault Zone and Fault Wall. It has_part some Fault Wall and some Fault Zone.,"['87', '41', '108', '91', '73', '159', '182']",7
It is a fiat surface that is 'located in' the external surface of a 'geological object'.,"['22', '61']",2
Slickenside: smooth polished surface of parallel scratches or grooves.,['141'],1
"Nonsystematic (random): a number of fault surfaces in a wide range of orientations, no systematic pattern can be concluded.",['208'],1
Positive Flower Structure: a set of Fault Volume that their corresponding Fault Walls are moved relatively upward and the corresponding Fault System has_structure some Flower.,['97'],1
"Physical Slip Surface: a fiat object part that is part_of some Fault Wall and externally_connected_with some Fault Core. It is the physical surface part of the wall, where major slip of a fault occurred.","['195', '63', '25', '35', '29']",5
Continuity: a quality that is quality_of  some Fault Core Membrane. It describes the appearance continuity of the fault core membrane.,"['16', '79']",2
Growth Fault (synonyms: Syn-sedimentation fault): a Fault Structure  in which the portion above the fault surface is thicker than the portion below .,['154'],1
Detachment Fault: a Fault Structure with Fault Dip in value less than 10° in which the displacement is almost horizontally.,['184'],1
Strike-Slip Fault: a Fault Structure that two Fault Wall move relative horizontally to each other laterally in a vertical plane that is approximately parallel to the strike of the fault.,"['133', '223', '72', '45']",4
"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])","['204', '107', '103', '190']",4
Fault System: a Rock Volume and has_part some Fault Volume.,"['13', '108', '70', '33']",4
"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.","['127', '210', '64']",3
Brittle Fault Rock: a amount of rock generated_by some Brittle Shear Deformation. It results from the crushing  of a former rock (Protolith).,"['23', '32', '96', '39', '187', '85', '11']",7
"Deformation Band: a geological object recognizable in from mm to cm in width, constituted_by some amount of rock and generated_by some Geological Deformation.It corresponds to a tabular strain localization feature that accommodates small displacement with strain-hardening.","['158', '147', '4']",3
"Fault Core: a geological object that is part_of only Fault Zone, generated_by some Brittle Shear Deformation, constituted_by some Brittle Fault Rock. It accommodates the high-strain major shear displacement.","['63', '23', '3', '43', '54', '168', '120', '139', '31', '156']",10
Flower: a set of fault surfaces related to strike-slip fault structure that stack together as petals of a flower in cross-section view.,['148'],1
"Fault System Structure: a geological structure that is structure_of some Fault System. It is the arrangement among the Fault Walls of Fault Volumes, which are part_of a Fault System.","['33', '117', '186', '56', '97', '57']",6
Negative Flower Structure: a set of Fault Volume that their corresponding Fault Walls are moved relatively downward and the corresponding Fault System has_structure some Flower.,['56'],1
Chatter Mark: a small wedge-shaped structure that indicates one Fault Wall moves past another.,['136'],1
Fault Maximum Separation: a relational quality is quality_of exactly 2 Fault Wall of a Fault Volume. It measures the separation between 2 Fault Wall of a Fault Volume and expressed by a real number indicating its value and a literal string indicating its measurement unit.,"['203', '152', '151', '62', '106', '201']",6
