Query,Relevant Axioms IDs,Size of relevant axioms
"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts.","['81', '120', '188', '54', '64', '77', '153', '83', '208', '122', '65', '25']",12
Rock Quality: a quality that is quality_of only Amount of Rock. It measures the property that related to rock itself.,"['113', '129', '17', '193']",4
Fault Dip Direction: it measures the dipping direction of the Fault Surface Location.,['99'],1
Fault Array Structure: a geological structure that is structure_of some Fault System. It is the spatial relationship and geometric arrangement among the Fault Surface related to multiple Fault Zone of a Fault System.,"['13', '123', '115', '91', '210', '111', '1', '206', '145']",9
Earth fluid is an 'earth material' that is fluild.,"['41', '203']",2
.Fault Surface Location: a two dimensional spatial region that Fault Surface occupies in the spatial region.,"['7', '46', '6']",3
Fault Volume: a Rock Volume that is associated to  Fault Zone and Fault Wall. It has_part some Fault Wall and some Fault Zone.,"['86', '40', '108', '89', '72', '156', '182']",7
It is a fiat surface that is 'located in' the external surface of a 'geological object'.,"['21', '61']",2
Slickenside: smooth polished surface of parallel scratches or grooves.,['139'],1
"Nonsystematic (random): a number of fault surfaces in a wide range of orientations, no systematic pattern can be concluded.",['206'],1
Positive Flower Structure: a set of Fault Volume that their corresponding Fault Walls are moved relatively upward and the corresponding Fault System has_structure some Flower.,['95'],1
"Physical Slip Surface: a fiat object part that is part_of some Fault Wall and externally_connected_with some Fault Core. It is the physical surface part of the wall, where major slip of a fault occurred.","['194', '63', '24', '34', '28']",5
Continuity: a quality that is quality_of  some Fault Core Membrane. It describes the appearance continuity of the fault core membrane.,"['15', '78']",2
Growth Fault (synonyms: Syn-sedimentation fault): a Fault Structure  in which the portion above the fault surface is thicker than the portion below .,['151'],1
Detachment Fault: a Fault Structure with Fault Dip in value less than 10° in which the displacement is almost horizontally.,['184'],1
Strike-Slip Fault: a Fault Structure that two Fault Wall move relative horizontally to each other laterally in a vertical plane that is approximately parallel to the strike of the fault.,"['131', '222', '71', '44']",4
Fault System: a Rock Volume and has_part some Fault Volume.,"['13', '108', '70', '32']",4
