Query,Relevant Axioms IDs,Size of relevant axioms,Word2Vec Cosine,Word2Vec Time
"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts.","['81', '120', '188', '54', '64', '77', '153', '83', '208', '122', '65', '25']",12,"['126', '5', '176', '167', '92', '162', '65', '114', '156', '124']",0.03465747833251953
Rock Quality: a quality that is quality_of only Amount of Rock. It measures the property that related to rock itself.,"['113', '129', '17', '193']",4,"['129', '113', '192', '17', '100', '31', '155', '147', '33', '152']",0.022478818893432617
Fault Dip Direction: it measures the dipping direction of the Fault Surface Location.,['99'],1,"['99', '200', '46', '7', '140', '69', '89', '105', '161', '212']",0.024377107620239258
Fault Array Structure: a geological structure that is structure_of some Fault System. It is the spatial relationship and geometric arrangement among the Fault Surface related to multiple Fault Zone of a Fault System.,"['13', '123', '115', '91', '210', '111', '1', '206', '145']",9,"['13', '32', '7', '207', '116', '111', '56', '151', '122', '193']",0.022134065628051758
Earth fluid is an 'earth material' that is fluild.,"['41', '203']",2,"['41', '133', '203', '109', '75', '180', '147', '159', '28', '33']",0.022968530654907227
.Fault Surface Location: a two dimensional spatial region that Fault Surface occupies in the spatial region.,"['7', '46', '6']",3,"['6', '7', '205', '171', '3', '103', '61', '195', '69', '89']",0.02498769760131836
Fault Volume: a Rock Volume that is associated to  Fault Zone and Fault Wall. It has_part some Fault Wall and some Fault Zone.,"['86', '40', '108', '89', '72', '156', '182']",7,"['182', '71', '40', '90', '222', '153', '53', '107', '69', '89']",0.022699594497680664
It is a fiat surface that is 'located in' the external surface of a 'geological object'.,"['21', '61']",2,"['66', '124', '34', '39', '18', '181', '61', '143', '8', '7']",0.024904966354370117
Slickenside: smooth polished surface of parallel scratches or grooves.,['139'],1,"['139', '172', '28', '140', '195', '134', '68', '84', '63', '194']",0.022242307662963867
"Nonsystematic (random): a number of fault surfaces in a wide range of orientations, no systematic pattern can be concluded.",['206'],1,"['207', '210', '156', '56', '122', '139', '195', '28', '13', '124']",0.025905609130859375
Positive Flower Structure: a set of Fault Volume that their corresponding Fault Walls are moved relatively upward and the corresponding Fault System has_structure some Flower.,['95'],1,"['13', '156', '56', '95', '145', '32', '105', '63', '42', '24']",0.027716398239135742
"Physical Slip Surface: a fiat object part that is part_of some Fault Wall and externally_connected_with some Fault Core. It is the physical surface part of the wall, where major slip of a fault occurred.","['194', '63', '24', '34', '28']",5,"['24', '63', '42', '194', '119', '89', '69', '7', '46', '149']",0.03182053565979004
Continuity: a quality that is quality_of  some Fault Core Membrane. It describes the appearance continuity of the fault core membrane.,"['15', '78']",2,"['78', '166', '11', '16', '178', '18', '2', '63', '137', '146']",0.031026840209960938
Growth Fault (synonyms: Syn-sedimentation fault): a Fault Structure  in which the portion above the fault surface is thicker than the portion below .,['151'],1,"['151', '57', '222', '173', '140', '7', '193', '43', '72', '105']",0.025643587112426758
Detachment Fault: a Fault Structure with Fault Dip in value less than 10° in which the displacement is almost horizontally.,['184'],1,"['105', '193', '184', '57', '62', '200', '140', '156', '46', '13']",0.02678394317626953
Strike-Slip Fault: a Fault Structure that two Fault Wall move relative horizontally to each other laterally in a vertical plane that is approximately parallel to the strike of the fault.,"['131', '222', '71', '44']",4,"['173', '42', '200', '193', '222', '212', '88', '105', '179', '57']",0.026549577713012695
Fault System: a Rock Volume and has_part some Fault Volume.,"['13', '108', '70', '32']",4,"['70', '86', '107', '197', '182', '71', '40', '90', '156', '220']",0.02591872215270996
"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances.","['126', '207', '65']",3,"['126', '162', '5', '208', '65', '92', '167', '191', '125', '176']",0.026463031768798828
Brittle Fault Rock: a amount of rock generated_by some Brittle Shear Deformation. It results from the crushing  of a former rock (Protolith).,"['22', '31', '96', '37', '187', '84', '12']",7,"['84', '37', '31', '186', '2', '11', '96', '183', '146', '22']",0.025291919708251953
"Deformation Band: a geological object recognizable in from mm to cm in width, constituted_by some amount of rock and generated_by some Geological Deformation.It corresponds to a tabular strain localization feature that accommodates small displacement with strain-hardening.","['155', '144', '4']",3,"['144', '4', '39', '66', '111', '181', '124', '18', '139', '207']",0.029920578002929688
"Fault Core: a geological object that is part_of only Fault Zone, generated_by some Brittle Shear Deformation, constituted_by some Brittle Fault Rock. It accommodates the high-strain major shear displacement.","['63', '22', '3', '42', '53', '167', '119', '138', '30', '154']",10,"['2', '146', '84', '183', '11', '37', '22', '140', '186', '18']",0.028985977172851562
Flower: a set of fault surfaces related to strike-slip fault structure that stack together as petals of a flower in cross-section view.,['145'],1,"['145', '207', '115', '172', '63', '122', '13', '42', '140', '194']",0.026928424835205078
"Fault System Structure: a geological structure that is structure_of some Fault System. It is the arrangement among the Fault Walls of Fault Volumes, which are part_of a Fault System.","['32', '116', '186', '56', '95', '57']",6,"['32', '116', '13', '72', '43', '193', '151', '57', '107', '184']",0.025890350341796875
Negative Flower Structure: a set of Fault Volume that their corresponding Fault Walls are moved relatively downward and the corresponding Fault System has_structure some Flower.,['56'],1,"['156', '13', '56', '145', '105', '32', '95', '63', '42', '24']",0.029328584671020508
Chatter Mark: a small wedge-shaped structure that indicates one Fault Wall moves past another.,['134'],1,"['134', '24', '23', '42', '194', '63', '119', '172', '182', '71']",0.02626204490661621
Fault Maximum Separation: a relational quality is quality_of exactly 2 Fault Wall of a Fault Volume. It measures the separation between 2 Fault Wall of a Fault Volume and expressed by a real number indicating its value and a literal string indicating its measurement unit.,"['201', '149', '148', '62', '105', '198']",6,"['156', '105', '148', '107', '13', '56', '71', '182', '95', '46']",0.02831101417541504
"Slip Surface Structure: a geological structure, which is structure_of some Physical Slip Surface. It is structure of the direction of the displacement between the two fault walls.","['139', '68', '39', '28', '134']",5,"['28', '39', '139', '68', '63', '24', '140', '111', '116', '195']",0.02469778060913086
Dip Separation: it is the separation measured along a line parallel to the dip direction.,['62'],1,"['62', '99', '200', '85', '161', '122', '63', '139', '194', '105']",0.027394771575927734
Low-angle Fault: a Fault Structure having a Fault Dip value less than 30°,"['43', '212']",2,"['193', '105', '43', '72', '57', '151', '222', '212', '88', '200']",0.03277301788330078
It is a 'generically dependent continuant' that is the pattern of a non-atomic 'geological object''s internal arrangement.,"['114', '11', '66', '111', '116', '39', '181', '163', '125']",9,"['114', '66', '181', '126', '176', '124', '207', '163', '156', '10']",0.03322744369506836
"An entity that has temporal parts and that happens, unfolds or develops through time.","['191', '135', '80', '112', '202']",5,"['156', '162', '78', '65', '137', '107', '13', '29', '119', '166']",0.03188371658325195
"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.","['51', '10', '174', '20']",4,"['162', '126', '67', '156', '157', '125', '65', '167', '92', '33']",0.03279685974121094
"Duplex : a set of imbricate (overlapping,stacking) thrusts which branch off from a single fault below and merge with a thrust fault above and which isolate rock bodies (horses).",['57'],1,"['122', '42', '13', '11', '63', '207', '194', '115', '119', '22']",0.030700206756591797
Protolith Role: a role that is role_of  some amount of rock. It indicates the original rock type of the rock before the rock participate_in some Geological Process.,"['45', '152', '25']",3,"['45', '152', '31', '155', '33', '97', '129', '147', '192', '100']",0.02816462516784668
Barrier: a role that is role_of some Fault Zone that not allows fluid flow.,"['169', '54']",2,"['7', '169', '146', '69', '89', '140', '24', '166', '63', '78']",0.04331183433532715
Fault Strike Azimuth: it measures the strike azimuth of the Fault Surface Location.,['19'],1,"['19', '7', '200', '46', '88', '69', '89', '212', '99', '140']",0.03687739372253418
Unconsolidated earth material is an 'earth material' that is consituted by an aggregate of solid particles but is not consolidated into a 'rock' it self.,['133'],1,"['133', '147', '203', '180', '109', '75', '41', '33', '192', '100']",0.04457235336303711
"Anastomosing: a set of fault surfaces that merge and diverge along strike, thereby creating a braided pattern in map view or cross section.",['115'],1,"['85', '115', '139', '63', '194', '122', '161', '172', '24', '28']",0.033727407455444336
"Minor Fault (synonym: Subsidiary fault, Spaly fault): a role is role_of  some Fault Zone. It can be realized when a Fault Zone having a minor displacement than a Major Fault within a Fault System.","['64', '137', '141', '100']",4,"['220', '141', '108', '36', '222', '212', '153', '53', '107', '102']",0.02983999252319336
